counts_code,scenario_type,total_tasks,n1,n2,n3,n4,p1,p2,p3,p4,r,lambda,lambda_label,gamma,activation_cost_K,speed_preference,eta_T_percent,eta_E_percent,mean_score,std_score,risk_penalty,activation_cost_factor_phi,activation_penalty,final_integrated_score,final_recommendation,selected_mode,recommended_speed_multiplier,opt_speed_2arm,opt_speed_3arm,opt_obj_2arm,opt_obj_3arm,speed_objective_gain_3arm_vs_2arm_percent,sample_count,robust_data_source,model_note
1111,balanced,4,1,1,1,1,0.25,0.25,0.25,0.25,0.5,0.5,0_5,0.5,6,efficiency_first,38.19,5.37,35.5,10.15,5.08,1.0594,6.36,24.07,recommend_3arm,3arm,1.19,1.4,1.19,0.9058,0.6848,24.4,3,robust_mode_selection_result.csv,"S_final=mean(S_lambda)-gamma*std(S_lambda)-K*Phi(p,r)"
1111,balanced,4,1,1,1,1,0.25,0.25,0.25,0.25,0.5,0.5,0_5,0.5,8,efficiency_first,38.19,5.37,35.5,10.15,5.08,1.0594,8.47,21.95,recommend_3arm,3arm,1.19,1.4,1.19,0.9058,0.6848,24.4,3,robust_mode_selection_result.csv,"S_final=mean(S_lambda)-gamma*std(S_lambda)-K*Phi(p,r)"
1111,balanced,4,1,1,1,1,0.25,0.25,0.25,0.25,0.5,0.5,0_5,0.5,10,efficiency_first,38.19,5.37,35.5,10.15,5.08,1.0594,10.59,19.83,recommend_3arm,3arm,1.19,1.4,1.19,0.9058,0.6848,24.4,3,robust_mode_selection_result.csv,"S_final=mean(S_lambda)-gamma*std(S_lambda)-K*Phi(p,r)"
1111,balanced,4,1,1,1,1,0.25,0.25,0.25,0.25,0.5,0.5,0_5,0.5,12,efficiency_first,38.19,5.37,35.5,10.15,5.08,1.0594,12.71,17.71,recommend_3arm,3arm,1.19,1.4,1.19,0.9058,0.6848,24.4,3,robust_mode_selection_result.csv,"S_final=mean(S_lambda)-gamma*std(S_lambda)-K*Phi(p,r)"
1111,balanced,4,1,1,1,1,0.25,0.25,0.25,0.25,0.5,0.5,0_5,0.5,15,efficiency_first,38.19,5.37,35.5,10.15,5.08,1.0594,15.89,14.53,recommend_3arm,3arm,1.19,1.4,1.19,0.9058,0.6848,24.4,3,robust_mode_selection_result.csv,"S_final=mean(S_lambda)-gamma*std(S_lambda)-K*Phi(p,r)"
1111,balanced,4,1,1,1,1,0.25,0.25,0.25,0.25,0.5,0.5,0_5,0.5,20,efficiency_first,38.19,5.37,35.5,10.15,5.08,1.0594,21.19,9.24,recommend_3arm,3arm,1.19,1.4,1.19,0.9058,0.6848,24.4,3,robust_mode_selection_result.csv,"S_final=mean(S_lambda)-gamma*std(S_lambda)-K*Phi(p,r)"
1111,balanced,4,1,1,1,1,0.25,0.25,0.25,0.25,0.5,0.5,0_5,0.5,25,efficiency_first,38.19,5.37,35.5,10.15,5.08,1.0594,26.48,3.94,recommend_3arm,3arm,1.19,1.4,1.19,0.9058,0.6848,24.4,3,robust_mode_selection_result.csv,"S_final=mean(S_lambda)-gamma*std(S_lambda)-K*Phi(p,r)"
1111,balanced,4,1,1,1,1,0.25,0.25,0.25,0.25,0.5,0.5,0_5,1,0,efficiency_first,38.19,5.37,35.5,10.15,10.15,1.0594,0.0,25.35,recommend_3arm,3arm,1.19,1.4,1.19,0.9058,0.6848,24.4,3,robust_mode_selection_result.csv,"S_final=mean(S_lambda)-gamma*std(S_lambda)-K*Phi(p,r)"
1111,balanced,4,1,1,1,1,0.25,0.25,0.25,0.25,0.5,0.5,0_5,1,2,efficiency_first,38.19,5.37,35.5,10.15,10.15,1.0594,2.12,23.23,recommend_3arm,3arm,1.19,1.4,1.19,0.9058,0.6848,24.4,3,robust_mode_selection_result.csv,"S_final=mean(S_lambda)-gamma*std(S_lambda)-K*Phi(p,r)"
1111,balanced,4,1,1,1,1,0.25,0.25,0.25,0.25,0.5,0.5,0_5,1,4,efficiency_first,38.19,5.37,35.5,10.15,10.15,1.0594,4.24,21.11,recommend_3arm,3arm,1.19,1.4,1.19,0.9058,0.6848,24.4,3,robust_mode_selection_result.csv,"S_final=mean(S_lambda)-gamma*std(S_lambda)-K*Phi(p,r)"
1111,balanced,4,1,1,1,1,0.25,0.25,0.25,0.25,0.5,0.5,0_5,1,6,efficiency_first,38.19,5.37,35.5,10.15,10.15,1.0594,6.36,18.99,recommend_3arm,3arm,1.19,1.4,1.19,0.9058,0.6848,24.4,3,robust_mode_selection_result.csv,"S_final=mean(S_lambda)-gamma*std(S_lambda)-K*Phi(p,r)"
1111,balanced,4,1,1,1,1,0.25,0.25,0.25,0.25,0.5,0.5,0_5,1,8,efficiency_first,38.19,5.37,35.5,10.15,10.15,1.0594,8.47,16.88,recommend_3arm,3arm,1.19,1.4,1.19,0.9058,0.6848,24.4,3,robust_mode_selection_result.csv,"S_final=mean(S_lambda)-gamma*std(S_lambda)-K*Phi(p,r)"
1111,balanced,4,1,1,1,1,0.25,0.25,0.25,0.25,0.5,0.5,0_5,1,10,efficiency_first,38.19,5.37,35.5,10.15,10.15,1.0594,10.59,14.76,recommend_3arm,3arm,1.19,1.4,1.19,0.9058,0.6848,24.4,3,robust_mode_selection_result.csv,"S_final=mean(S_lambda)-gamma*std(S_lambda)-K*Phi(p,r)"
1111,balanced,4,1,1,1,1,0.25,0.25,0.25,0.25,0.5,0.5,0_5,1,12,efficiency_first,38.19,5.37,35.5,10.15,10.15,1.0594,12.71,12.64,recommend_3arm,3arm,1.19,1.4,1.19,0.9058,0.6848,24.4,3,robust_mode_selection_result.csv,"S_final=mean(S_lambda)-gamma*std(S_lambda)-K*Phi(p,r)"
1111,balanced,4,1,1,1,1,0.25,0.25,0.25,0.25,0.5,0.5,0_5,1,15,efficiency_first,38.19,5.37,35.5,10.15,10.15,1.0594,15.89,9.46,recommend_3arm,3arm,1.19,1.4,1.19,0.9058,0.6848,24.4,3,robust_mode_selection_result.csv,"S_final=mean(S_lambda)-gamma*std(S_lambda)-K*Phi(p,r)"
1111,balanced,4,1,1,1,1,0.25,0.25,0.25,0.25,0.5,0.5,0_5,1,20,efficiency_first,38.19,5.37,35.5,10.15,10.15,1.0594,21.19,4.16,recommend_3arm,3arm,1.19,1.4,1.19,0.9058,0.6848,24.4,3,robust_mode_selection_result.csv,"S_final=mean(S_lambda)-gamma*std(S_lambda)-K*Phi(p,r)"
1111,balanced,4,1,1,1,1,0.25,0.25,0.25,0.25,0.5,0.5,0_5,1,25,efficiency_first,38.19,5.37,35.5,10.15,10.15,1.0594,26.48,-1.13,recommend_2arm,2arm,1.4,1.4,1.19,0.9058,0.6848,24.4,3,robust_mode_selection_result.csv,"S_final=mean(S_lambda)-gamma*std(S_lambda)-K*Phi(p,r)"
1111,balanced,4,1,1,1,1,0.25,0.25,0.25,0.25,0.5,0.5,0_5,1.5,0,efficiency_first,38.19,5.37,35.5,10.15,15.23,1.0594,0.0,20.27,recommend_3arm,3arm,1.19,1.4,1.19,0.9058,0.6848,24.4,3,robust_mode_selection_result.csv,"S_final=mean(S_lambda)-gamma*std(S_lambda)-K*Phi(p,r)"
1111,balanced,4,1,1,1,1,0.25,0.25,0.25,0.25,0.5,0.5,0_5,1.5,2,efficiency_first,38.19,5.37,35.5,10.15,15.23,1.0594,2.12,18.16,recommend_3arm,3arm,1.19,1.4,1.19,0.9058,0.6848,24.4,3,robust_mode_selection_result.csv,"S_final=mean(S_lambda)-gamma*std(S_lambda)-K*Phi(p,r)"
1111,balanced,4,1,1,1,1,0.25,0.25,0.25,0.25,0.5,0.5,0_5,1.5,4,efficiency_first,38.19,5.37,35.5,10.15,15.23,1.0594,4.24,16.04,recommend_3arm,3arm,1.19,1.4,1.19,0.9058,0.6848,24.4,3,robust_mode_selection_result.csv,"S_final=mean(S_lambda)-gamma*std(S_lambda)-K*Phi(p,r)"
1111,balanced,4,1,1,1,1,0.25,0.25,0.25,0.25,0.5,0.5,0_5,1.5,6,efficiency_first,38.19,5.37,35.5,10.15,15.23,1.0594,6.36,13.92,recommend_3arm,3arm,1.19,1.4,1.19,0.9058,0.6848,24.4,3,robust_mode_selection_result.csv,"S_final=mean(S_lambda)-gamma*std(S_lambda)-K*Phi(p,r)"
1111,balanced,4,1,1,1,1,0.25,0.25,0.25,0.25,0.5,0.5,0_5,1.5,8,efficiency_first,38.19,5.37,35.5,10.15,15.23,1.0594,8.47,11.8,recommend_3arm,3arm,1.19,1.4,1.19,0.9058,0.6848,24.4,3,robust_mode_selection_result.csv,"S_final=mean(S_lambda)-gamma*std(S_lambda)-K*Phi(p,r)"
1111,balanced,4,1,1,1,1,0.25,0.25,0.25,0.25,0.5,0.5,0_5,1.5,10,efficiency_first,38.19,5.37,35.5,10.15,15.23,1.0594,10.59,9.68,recommend_3arm,3arm,1.19,1.4,1.19,0.9058,0.6848,24.4,3,robust_mode_selection_result.csv,"S_final=mean(S_lambda)-gamma*std(S_lambda)-K*Phi(p,r)"
1111,balanced,4,1,1,1,1,0.25,0.25,0.25,0.25,0.5,0.5,0_5,1.5,12,efficiency_first,38.19,5.37,35.5,10.15,15.23,1.0594,12.71,7.56,recommend_3arm,3arm,1.19,1.4,1.19,0.9058,0.6848,24.4,3,robust_mode_selection_result.csv,"S_final=mean(S_lambda)-gamma*std(S_lambda)-K*Phi(p,r)"
1111,balanced,4,1,1,1,1,0.25,0.25,0.25,0.25,0.5,0.5,0_5,1.5,15,efficiency_first,38.19,5.37,35.5,10.15,15.23,1.0594,15.89,4.38,recommend_3arm,3arm,1.19,1.4,1.19,0.9058,0.6848,24.4,3,robust_mode_selection_result.csv,"S_final=mean(S_lambda)-gamma*std(S_lambda)-K*Phi(p,r)"
1111,balanced,4,1,1,1,1,0.25,0.25,0.25,0.25,0.5,0.5,0_5,1.5,20,efficiency_first,38.19,5.37,35.5,10.15,15.23,1.0594,21.19,-0.91,recommend_2arm,2arm,1.4,1.4,1.19,0.9058,0.6848,24.4,3,robust_mode_selection_result.csv,"S_final=mean(S_lambda)-gamma*std(S_lambda)-K*Phi(p,r)"
1111,balanced,4,1,1,1,1,0.25,0.25,0.25,0.25,0.5,0.5,0_5,1.5,25,efficiency_first,38.19,5.37,35.5,10.15,15.23,1.0594,26.48,-6.21,recommend_2arm,2arm,1.4,1.4,1.19,0.9058,0.6848,24.4,3,robust_mode_selection_result.csv,"S_final=mean(S_lambda)-gamma*std(S_lambda)-K*Phi(p,r)"
1111,balanced,4,1,1,1,1,0.25,0.25,0.25,0.25,0.5,0.5,0_5,2,0,efficiency_first,38.19,5.37,35.5,10.15,20.3,1.0594,0.0,15.2,recommend_3arm,3arm,1.19,1.4,1.19,0.9058,0.6848,24.4,3,robust_mode_selection_result.csv,"S_final=mean(S_lambda)-gamma*std(S_lambda)-K*Phi(p,r)"
1111,balanced,4,1,1,1,1,0.25,0.25,0.25,0.25,0.5,0.5,0_5,2,2,efficiency_first,38.19,5.37,35.5,10.15,20.3,1.0594,2.12,13.08,recommend_3arm,3arm,1.19,1.4,1.19,0.9058,0.6848,24.4,3,robust_mode_selection_result.csv,"S_final=mean(S_lambda)-gamma*std(S_lambda)-K*Phi(p,r)"
1111,balanced,4,1,1,1,1,0.25,0.25,0.25,0.25,0.5,0.5,0_5,2,4,efficiency_first,38.19,5.37,35.5,10.15,20.3,1.0594,4.24,10.96,recommend_3arm,3arm,1.19,1.4,1.19,0.9058,0.6848,24.4,3,robust_mode_selection_result.csv,"S_final=mean(S_lambda)-gamma*std(S_lambda)-K*Phi(p,r)"
1111,balanced,4,1,1,1,1,0.25,0.25,0.25,0.25,0.5,0.5,0_5,2,6,efficiency_first,38.19,5.37,35.5,10.15,20.3,1.0594,6.36,8.84,recommend_3arm,3arm,1.19,1.4,1.19,0.9058,0.6848,24.4,3,robust_mode_selection_result.csv,"S_final=mean(S_lambda)-gamma*std(S_lambda)-K*Phi(p,r)"
1111,balanced,4,1,1,1,1,0.25,0.25,0.25,0.25,0.5,0.5,0_5,2,8,efficiency_first,38.19,5.37,35.5,10.15,20.3,1.0594,8.47,6.72,recommend_3arm,3arm,1.19,1.4,1.19,0.9058,0.6848,24.4,3,robust_mode_selection_result.csv,"S_final=mean(S_lambda)-gamma*std(S_lambda)-K*Phi(p,r)"
1111,balanced,4,1,1,1,1,0.25,0.25,0.25,0.25,0.5,0.5,0_5,2,10,efficiency_first,38.19,5.37,35.5,10.15,20.3,1.0594,10.59,4.61,recommend_3arm,3arm,1.19,1.4,1.19,0.9058,0.6848,24.4,3,robust_mode_selection_result.csv,"S_final=mean(S_lambda)-gamma*std(S_lambda)-K*Phi(p,r)"
1111,balanced,4,1,1,1,1,0.25,0.25,0.25,0.25,0.5,0.5,0_5,2,12,efficiency_first,38.19,5.37,35.5,10.15,20.3,1.0594,12.71,2.49,recommend_3arm,3arm,1.19,1.4,1.19,0.9058,0.6848,24.4,3,robust_mode_selection_result.csv,"S_final=mean(S_lambda)-gamma*std(S_lambda)-K*Phi(p,r)"
1111,balanced,4,1,1,1,1,0.25,0.25,0.25,0.25,0.5,0.5,0_5,2,15,efficiency_first,38.19,5.37,35.5,10.15,20.3,1.0594,15.89,-0.69,recommend_2arm,2arm,1.4,1.4,1.19,0.9058,0.6848,24.4,3,robust_mode_selection_result.csv,"S_final=mean(S_lambda)-gamma*std(S_lambda)-K*Phi(p,r)"
1111,balanced,4,1,1,1,1,0.25,0.25,0.25,0.25,0.5,0.5,0_5,2,20,efficiency_first,38.19,5.37,35.5,10.15,20.3,1.0594,21.19,-5.99,recommend_2arm,2arm,1.4,1.4,1.19,0.9058,0.6848,24.4,3,robust_mode_selection_result.csv,"S_final=mean(S_lambda)-gamma*std(S_lambda)-K*Phi(p,r)"
1111,balanced,4,1,1,1,1,0.25,0.25,0.25,0.25,0.5,0.5,0_5,2,25,efficiency_first,38.19,5.37,35.5,10.15,20.3,1.0594,26.48,-11.28,recommend_2arm,2arm,1.4,1.4,1.19,0.9058,0.6848,24.4,3,robust_mode_selection_result.csv,"S_final=mean(S_lambda)-gamma*std(S_lambda)-K*Phi(p,r)"
1111,balanced,4,1,1,1,1,0.25,0.25,0.25,0.25,0.5,1,1,0,0,efficiency_first,38.19,5.37,32.81,10.11,0.0,1.0594,0.0,32.81,recommend_3arm,3arm,1.19,1.4,1.19,0.9058,0.6848,24.4,3,robust_mode_selection_result.csv,"S_final=mean(S_lambda)-gamma*std(S_lambda)-K*Phi(p,r)"
1111,balanced,4,1,1,1,1,0.25,0.25,0.25,0.25,0.5,1,1,0,2,efficiency_first,38.19,5.37,32.81,10.11,0.0,1.0594,2.12,30.69,recommend_3arm,3arm,1.19,1.4,1.19,0.9058,0.6848,24.4,3,robust_mode_selection_result.csv,"S_final=mean(S_lambda)-gamma*std(S_lambda)-K*Phi(p,r)"
1111,balanced,4,1,1,1,1,0.25,0.25,0.25,0.25,0.5,1,1,0,4,efficiency_first,38.19,5.37,32.81,10.11,0.0,1.0594,4.24,28.57,recommend_3arm,3arm,1.19,1.4,1.19,0.9058,0.6848,24.4,3,robust_mode_selection_result.csv,"S_final=mean(S_lambda)-gamma*std(S_lambda)-K*Phi(p,r)"
1111,balanced,4,1,1,1,1,0.25,0.25,0.25,0.25,0.5,1,1,0,6,efficiency_first,38.19,5.37,32.81,10.11,0.0,1.0594,6.36,26.45,recommend_3arm,3arm,1.19,1.4,1.19,0.9058,0.6848,24.4,3,robust_mode_selection_result.csv,"S_final=mean(S_lambda)-gamma*std(S_lambda)-K*Phi(p,r)"
1111,balanced,4,1,1,1,1,0.25,0.25,0.25,0.25,0.5,1,1,0,8,efficiency_first,38.19,5.37,32.81,10.11,0.0,1.0594,8.47,24.34,recommend_3arm,3arm,1.19,1.4,1.19,0.9058,0.6848,24.4,3,robust_mode_selection_result.csv,"S_final=mean(S_lambda)-gamma*std(S_lambda)-K*Phi(p,r)"
1111,balanced,4,1,1,1,1,0.25,0.25,0.25,0.25,0.5,1,1,0,10,efficiency_first,38.19,5.37,32.81,10.11,0.0,1.0594,10.59,22.22,recommend_3arm,3arm,1.19,1.4,1.19,0.9058,0.6848,24.4,3,robust_mode_selection_result.csv,"S_final=mean(S_lambda)-gamma*std(S_lambda)-K*Phi(p,r)"
1111,balanced,4,1,1,1,1,0.25,0.25,0.25,0.25,0.5,1,1,0,12,efficiency_first,38.19,5.37,32.81,10.11,0.0,1.0594,12.71,20.1,recommend_3arm,3arm,1.19,1.4,1.19,0.9058,0.6848,24.4,3,robust_mode_selection_result.csv,"S_final=mean(S_lambda)-gamma*std(S_lambda)-K*Phi(p,r)"
