lambda,lambda_label,gamma,activation_cost_K,case_count,recommend_3arm_count,recommend_2arm_count,recommend_3arm_ratio_percent,mean_final_integrated_score,min_final_integrated_score,max_final_integrated_score,mean_recommended_speed_multiplier,note
1,1,1,25,16,1,15,6.25,-5.3,-13.87,0.32,1.39,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
1,1,1.5,0,16,16,0,100.0,21.15,11.78,27.04,1.23,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
1,1,1.5,2,16,16,0,100.0,18.88,9.51,24.7,1.23,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
1,1,1.5,4,16,16,0,100.0,16.62,7.23,22.36,1.23,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
1,1,1.5,6,16,16,0,100.0,14.35,4.95,20.02,1.23,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
1,1,1.5,8,16,16,0,100.0,12.08,2.68,17.68,1.23,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
1,1,1.5,10,16,16,0,100.0,9.82,0.4,15.34,1.23,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
1,1,1.5,12,16,15,1,93.75,7.55,-1.88,12.99,1.24,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
1,1,1.5,15,16,13,3,81.25,4.15,-5.29,9.48,1.26,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
1,1,1.5,20,16,7,9,43.75,-1.51,-10.98,3.63,1.32,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
1,1,1.5,25,16,0,16,0.0,-7.18,-16.68,-2.2,1.4,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
1,1,2,0,16,16,0,100.0,19.27,8.98,26.84,1.23,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
1,1,2,2,16,16,0,100.0,17.0,6.7,24.5,1.23,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
1,1,2,4,16,16,0,100.0,14.74,4.43,22.16,1.23,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
1,1,2,6,16,16,0,100.0,12.47,2.15,19.82,1.23,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
1,1,2,8,16,15,1,93.75,10.2,-0.13,17.48,1.24,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
1,1,2,10,16,14,2,87.5,7.94,-2.4,15.14,1.25,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
1,1,2,12,16,12,4,75.0,5.67,-4.68,12.79,1.27,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
1,1,2,15,16,11,5,68.75,2.27,-8.1,9.28,1.28,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
1,1,2,20,16,6,10,37.5,-3.39,-13.79,3.43,1.33,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
1,1,2,25,16,0,16,0.0,-9.06,-19.48,-2.42,1.4,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
2,2,0,0,16,16,0,100.0,22.33,16.5,29.95,1.23,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
2,2,0,2,16,16,0,100.0,20.06,14.22,27.67,1.23,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
2,2,0,4,16,16,0,100.0,17.8,11.95,25.4,1.23,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
2,2,0,6,16,16,0,100.0,15.53,9.67,23.12,1.23,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
2,2,0,8,16,16,0,100.0,13.27,7.39,20.84,1.23,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
2,2,0,10,16,16,0,100.0,11.0,5.12,18.57,1.23,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
2,2,0,12,16,16,0,100.0,8.73,2.84,16.29,1.23,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
2,2,0,15,16,14,2,87.5,5.33,-0.58,12.87,1.25,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
2,2,0,20,16,7,9,43.75,-0.33,-6.27,7.18,1.32,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
2,2,0,25,16,2,14,12.5,-6.0,-11.96,1.49,1.37,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
2,2,0.5,0,16,16,0,100.0,20.34,13.7,27.32,1.23,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
2,2,0.5,2,16,16,0,100.0,18.07,11.42,25.04,1.23,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
2,2,0.5,4,16,16,0,100.0,15.81,9.14,22.77,1.23,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
2,2,0.5,6,16,16,0,100.0,13.54,6.86,20.49,1.23,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
2,2,0.5,8,16,16,0,100.0,11.28,4.59,18.21,1.23,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
2,2,0.5,10,16,16,0,100.0,9.01,2.31,15.94,1.23,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
2,2,0.5,12,16,16,0,100.0,6.74,0.03,13.66,1.23,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
2,2,0.5,15,16,13,3,81.25,3.34,-3.38,10.24,1.26,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
2,2,0.5,20,16,4,12,25.0,-2.32,-9.07,4.55,1.35,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
2,2,0.5,25,16,0,16,0.0,-7.99,-14.77,-1.14,1.4,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
2,2,1,0,16,16,0,100.0,18.35,10.89,24.69,1.23,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
2,2,1,2,16,16,0,100.0,16.09,8.61,22.41,1.23,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
2,2,1,4,16,16,0,100.0,13.82,6.34,20.14,1.23,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
2,2,1,6,16,16,0,100.0,11.55,4.06,17.86,1.23,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
2,2,1,8,16,16,0,100.0,9.29,1.78,15.58,1.23,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
2,2,1,10,16,15,1,93.75,7.02,-0.49,13.31,1.24,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
