sensitivity_case,counts_code,n1,n2,n3,n4,total_tasks,scenario_type,seed_count,method,deadline_ratio,deadline_value,lambda_single,lambda_dual,rho_single,rho_dual,speed_min,speed_max,mean_cmax_2B_original,mean_energy_2B_original,feasible_2B,opt_speed_single_2B,opt_speed_dual_2B,opt_energy_2B,opt_cmax_2B,active_constraints_2B,kkt_pass_2B,infeasible_reason_2B,mean_cmax_3B_original,mean_energy_3B_original,feasible_3B,opt_speed_single_3B,opt_speed_dual_3B,opt_energy_3B,opt_cmax_3B,active_constraints_3B,kkt_pass_3B,infeasible_reason_3B,energy_advantage_2B_minus_3B,recommended_mode,recommendation,recommendation_reason
baseline,1111,1,1,1,1,4,balanced,3,optimized,1.5,2796.0,0.35,0.45,0.35,0.45,0.6,1.8,1864.0,8015.0,1,0.916261,0.96873,7994.042144,1979.262089,none,1,,1144.333333,8445.0,1,0.91626,0.968729,8422.917767,1215.094855,none,1,,-428.875623,2B,recommend_2arm_lower_energy_under_deadline,2B has lower optimized energy under the same deadline
baseline,1112,1,1,1,2,5,type4_dominant,3,optimized,0.7,1673.233333,0.35,0.45,0.35,0.45,0.6,1.8,2390.333333,12076.333333,1,1.432066,1.426251,13601.210646,1673.233315,deadline,1,,1674.666667,12578.0,1,0.975796,1.018292,12574.894016,1673.233151,deadline,1,,1026.316631,3B,recommend_3arm_lower_energy_under_deadline,3B has lower optimized energy under the same deadline
baseline,1112,1,1,1,2,5,type4_dominant,3,optimized,0.75,1792.75,0.35,0.45,0.35,0.45,0.6,1.8,2390.333333,12076.333333,1,1.332121,1.334143,13088.053083,1792.749972,deadline,1,,1674.666667,12578.0,1,0.916262,0.96873,12549.900147,1768.320453,none,1,,538.152936,3B,recommend_3arm_lower_energy_under_deadline,3B has lower optimized energy under the same deadline
baseline,1112,1,1,1,2,5,type4_dominant,3,optimized,0.8,1912.266667,0.35,0.45,0.35,0.45,0.6,1.8,2390.333333,12076.333333,1,1.244102,1.253963,12712.781251,1912.266627,deadline,1,,1674.666667,12578.0,1,0.916262,0.96873,12549.900147,1768.3212,none,1,,162.881104,3B,recommend_3arm_lower_energy_under_deadline,3B has lower optimized energy under the same deadline
baseline,1112,1,1,1,2,5,type4_dominant,3,optimized,0.85,2031.783333,0.35,0.45,0.35,0.45,0.6,1.8,2390.333333,12076.333333,1,1.165847,1.183661,12443.862203,2031.783282,deadline,1,,1674.666667,12578.0,1,0.916261,0.968729,12549.900147,1768.322503,none,1,,-106.037944,2B,recommend_2arm_lower_energy_under_deadline,2B has lower optimized energy under the same deadline
baseline,1112,1,1,1,2,5,type4_dominant,3,optimized,0.9,2151.3,0.35,0.45,0.35,0.45,0.6,1.8,2390.333333,12076.333333,1,1.095724,1.121611,12258.262354,2151.299926,deadline,1,,1674.666667,12578.0,1,0.916261,0.968729,12549.900147,1768.322548,none,1,,-291.637793,2B,recommend_2arm_lower_energy_under_deadline,2B has lower optimized energy under the same deadline
baseline,1112,1,1,1,2,5,type4_dominant,3,optimized,0.95,2270.816667,0.35,0.45,0.35,0.45,0.6,1.8,2390.333333,12076.333333,1,1.032386,1.066576,12138.836374,2270.816536,deadline,1,,1674.666667,12578.0,1,0.916261,0.96873,12549.900147,1768.322042,none,1,,-411.063773,2B,recommend_2arm_lower_energy_under_deadline,2B has lower optimized energy under the same deadline
baseline,1112,1,1,1,2,5,type4_dominant,3,optimized,1.0,2390.333333,0.35,0.45,0.35,0.45,0.6,1.8,2390.333333,12076.333333,1,0.97483,1.017515,12072.606066,2390.333053,deadline,1,,1674.666667,12578.0,1,0.916261,0.968729,12549.900147,1768.322701,none,1,,-477.294081,2B,recommend_2arm_lower_energy_under_deadline,2B has lower optimized energy under the same deadline
baseline,1112,1,1,1,2,5,type4_dominant,3,optimized,1.05,2509.85,0.35,0.45,0.35,0.45,0.6,1.8,2390.333333,12076.333333,1,0.92221,0.973618,12049.598577,2509.847156,deadline,1,,1674.666667,12578.0,1,0.916261,0.968729,12549.900147,1768.32269,none,1,,-500.30157,2B,recommend_2arm_lower_energy_under_deadline,2B has lower optimized energy under the same deadline
baseline,1112,1,1,1,2,5,type4_dominant,3,optimized,1.1,2629.366667,0.35,0.45,0.35,0.45,0.6,1.8,2390.333333,12076.333333,1,0.916261,0.968729,12049.354227,2524.012803,none,1,,1674.666667,12578.0,1,0.916261,0.968729,12549.900147,1768.322673,none,1,,-500.545919,2B,recommend_2arm_lower_energy_under_deadline,2B has lower optimized energy under the same deadline
