deadline_type,deadline_multiplier_of_2B_cmax,deadline_value,deadline_note,counts_code,scenario_type,total_tasks,n1,n2,n3,n4,base_cmax_2arm,base_cmax_3arm,base_energy_2arm,base_energy_3arm,status_2arm,reason_2arm,required_speed_2arm,opt_speed_2arm,opt_cmax_2arm,opt_energy_2arm,status_3arm,reason_3arm,required_speed_3arm,opt_speed_3arm,opt_cmax_3arm,opt_energy_3arm,recommendation,recommendation_reason,energy_advantage_selected_vs_other_percent,solve_method,model,energy_model,rho_dynamic_energy,speed_min,speed_max,data_source
loose_deadline,1.5,3116.51,time requirement is loose,,single_arm_dominant,6,2,2,1,1,2077.67,1505.33,8824.67,9260.33,OPTIMAL,solved by interior point method and 0.618 search,0.6667,0.6667,3116.5,5392.85,OPTIMAL,solved by interior point method and 0.618 search,0.483,0.6,2508.88,5111.7,recommend_3arm,"both feasible, 3arm has lower energy",5.21,interior_point_method + golden_section_0_618,"min Energy(s), s.t. Cmax0/s <= D and speed_min <= s <= speed_max",Energy(s)=Energy0*((1-rho)+rho*s^2),0.7,0.6,1.4,mode_decision_summary_basic.csv
normal_deadline,1.0,2077.67,time requirement equals original 2-arm Cmax,,single_arm_dominant,6,2,2,1,1,2077.67,1505.33,8824.67,9260.33,OPTIMAL,solved by interior point method and 0.618 search,1.0,1.0,2077.67,8824.67,OPTIMAL,solved by interior point method and 0.618 search,0.7245,0.7245,2077.67,6180.89,recommend_3arm,"both feasible, 3arm has lower energy",29.96,interior_point_method + golden_section_0_618,"min Energy(s), s.t. Cmax0/s <= D and speed_min <= s <= speed_max",Energy(s)=Energy0*((1-rho)+rho*s^2),0.7,0.6,1.4,mode_decision_summary_basic.csv
tight_deadline,0.8,1662.14,time requirement is tight,,single_arm_dominant,6,2,2,1,1,2077.67,1505.33,8824.67,9260.33,OPTIMAL,solved by interior point method and 0.618 search,1.25,1.25,1662.14,12299.38,OPTIMAL,solved by interior point method and 0.618 search,0.9057,0.9057,1662.14,8094.95,recommend_3arm,"both feasible, 3arm has lower energy",34.18,interior_point_method + golden_section_0_618,"min Energy(s), s.t. Cmax0/s <= D and speed_min <= s <= speed_max",Energy(s)=Energy0*((1-rho)+rho*s^2),0.7,0.6,1.4,mode_decision_summary_basic.csv
urgent_deadline,0.7,1454.37,time requirement is very urgent,,single_arm_dominant,6,2,2,1,1,2077.67,1505.33,8824.67,9260.33,INFEASIBLE,required speed exceeds speed_max,1.4286,,,,OPTIMAL,solved by interior point method and 0.618 search,1.035,1.035,1454.37,9722.56,recommend_3arm,only 3arm can meet deadline,,interior_point_method + golden_section_0_618,"min Energy(s), s.t. Cmax0/s <= D and speed_min <= s <= speed_max",Energy(s)=Energy0*((1-rho)+rho*s^2),0.7,0.6,1.4,mode_decision_summary_basic.csv
loose_deadline,1.5,4951.01,time requirement is loose,,dual_arm_dominant,7,1,2,2,2,3300.67,2285.0,15014.33,15531.33,OPTIMAL,solved by interior point method and 0.618 search,0.6667,0.6667,4951.0,9175.42,OPTIMAL,solved by interior point method and 0.618 search,0.4615,0.6,3808.33,8573.29,recommend_3arm,"both feasible, 3arm has lower energy",6.56,interior_point_method + golden_section_0_618,"min Energy(s), s.t. Cmax0/s <= D and speed_min <= s <= speed_max",Energy(s)=Energy0*((1-rho)+rho*s^2),0.7,0.6,1.4,mode_decision_summary_basic.csv
normal_deadline,1.0,3300.67,time requirement equals original 2-arm Cmax,,dual_arm_dominant,7,1,2,2,2,3300.67,2285.0,15014.33,15531.33,OPTIMAL,solved by interior point method and 0.618 search,1.0,1.0,3300.67,15014.33,OPTIMAL,solved by interior point method and 0.618 search,0.6923,0.6923,3300.67,9869.84,recommend_3arm,"both feasible, 3arm has lower energy",34.26,interior_point_method + golden_section_0_618,"min Energy(s), s.t. Cmax0/s <= D and speed_min <= s <= speed_max",Energy(s)=Energy0*((1-rho)+rho*s^2),0.7,0.6,1.4,mode_decision_summary_basic.csv
tight_deadline,0.8,2640.54,time requirement is tight,,dual_arm_dominant,7,1,2,2,2,3300.67,2285.0,15014.33,15531.33,OPTIMAL,solved by interior point method and 0.618 search,1.25,1.25,2640.54,20926.22,OPTIMAL,solved by interior point method and 0.618 search,0.8654,0.8654,2640.54,12800.72,recommend_3arm,"both feasible, 3arm has lower energy",38.83,interior_point_method + golden_section_0_618,"min Energy(s), s.t. Cmax0/s <= D and speed_min <= s <= speed_max",Energy(s)=Energy0*((1-rho)+rho*s^2),0.7,0.6,1.4,mode_decision_summary_basic.csv
urgent_deadline,0.7,2310.47,time requirement is very urgent,,dual_arm_dominant,7,1,2,2,2,3300.67,2285.0,15014.33,15531.33,INFEASIBLE,required speed exceeds speed_max,1.4286,,,,OPTIMAL,solved by interior point method and 0.618 search,0.989,0.989,2310.47,15292.96,recommend_3arm,only 3arm can meet deadline,,interior_point_method + golden_section_0_618,"min Energy(s), s.t. Cmax0/s <= D and speed_min <= s <= speed_max",Energy(s)=Energy0*((1-rho)+rho*s^2),0.7,0.6,1.4,mode_decision_summary_basic.csv
loose_deadline,1.5,4623.0,time requirement is loose,,dual_arm_dominant,7,2,1,2,2,3082.0,2295.33,14612.0,15207.0,OPTIMAL,solved by interior point method and 0.618 search,0.6667,0.6667,4623.0,8929.56,OPTIMAL,solved by interior point method and 0.618 search,0.4965,0.6,3825.55,8394.26,recommend_3arm,"both feasible, 3arm has lower energy",5.99,interior_point_method + golden_section_0_618,"min Energy(s), s.t. Cmax0/s <= D and speed_min <= s <= speed_max",Energy(s)=Energy0*((1-rho)+rho*s^2),0.7,0.6,1.4,mode_decision_summary_basic.csv
normal_deadline,1.0,3082.0,time requirement equals original 2-arm Cmax,,dual_arm_dominant,7,2,1,2,2,3082.0,2295.33,14612.0,15207.0,OPTIMAL,solved by interior point method and 0.618 search,1.0,1.0,3082.0,14612.0,OPTIMAL,solved by interior point method and 0.618 search,0.7448,0.7448,3082.0,10466.38,recommend_3arm,"both feasible, 3arm has lower energy",28.37,interior_point_method + golden_section_0_618,"min Energy(s), s.t. Cmax0/s <= D and speed_min <= s <= speed_max",Energy(s)=Energy0*((1-rho)+rho*s^2),0.7,0.6,1.4,mode_decision_summary_basic.csv
tight_deadline,0.8,2465.6,time requirement is tight,,dual_arm_dominant,7,2,1,2,2,3082.0,2295.33,14612.0,15207.0,OPTIMAL,solved by interior point method and 0.618 search,1.25,1.25,2465.6,20365.48,OPTIMAL,solved by interior point method and 0.618 search,0.9309,0.9309,2465.6,13787.53,recommend_3arm,"both feasible, 3arm has lower energy",32.3,interior_point_method + golden_section_0_618,"min Energy(s), s.t. Cmax0/s <= D and speed_min <= s <= speed_max",Energy(s)=Energy0*((1-rho)+rho*s^2),0.7,0.6,1.4,mode_decision_summary_basic.csv
urgent_deadline,0.7,2157.4,time requirement is very urgent,,dual_arm_dominant,7,2,1,2,2,3082.0,2295.33,14612.0,15207.0,INFEASIBLE,required speed exceeds speed_max,1.4286,,,,OPTIMAL,solved by interior point method and 0.618 search,1.0639,1.0639,2157.4,16611.64,recommend_3arm,only 3arm can meet deadline,,interior_point_method + golden_section_0_618,"min Energy(s), s.t. Cmax0/s <= D and speed_min <= s <= speed_max",Energy(s)=Energy0*((1-rho)+rho*s^2),0.7,0.6,1.4,mode_decision_summary_basic.csv
loose_deadline,1.5,3957.49,time requirement is loose,,single_arm_dominant,7,2,2,1,2,2638.33,1794.0,13213.0,13787.33,OPTIMAL,solved by interior point method and 0.618 search,0.6667,0.6667,3957.49,8074.61,OPTIMAL,solved by interior point method and 0.618 search,0.4533,0.6,2990.0,7610.61,recommend_3arm,"both feasible, 3arm has lower energy",5.75,interior_point_method + golden_section_0_618,"min Energy(s), s.t. Cmax0/s <= D and speed_min <= s <= speed_max",Energy(s)=Energy0*((1-rho)+rho*s^2),0.7,0.6,1.4,mode_decision_summary_basic.csv
normal_deadline,1.0,2638.33,time requirement equals original 2-arm Cmax,,single_arm_dominant,7,2,2,1,2,2638.33,1794.0,13213.0,13787.33,OPTIMAL,solved by interior point method and 0.618 search,1.0,1.0,2638.33,13213.0,OPTIMAL,solved by interior point method and 0.618 search,0.68,0.68,2638.33,8598.56,recommend_3arm,"both feasible, 3arm has lower energy",34.92,interior_point_method + golden_section_0_618,"min Energy(s), s.t. Cmax0/s <= D and speed_min <= s <= speed_max",Energy(s)=Energy0*((1-rho)+rho*s^2),0.7,0.6,1.4,mode_decision_summary_basic.csv
tight_deadline,0.8,2110.66,time requirement is tight,,single_arm_dominant,7,2,2,1,2,2638.33,1794.0,13213.0,13787.33,OPTIMAL,solved by interior point method and 0.618 search,1.25,1.25,2110.66,18415.62,OPTIMAL,solved by interior point method and 0.618 search,0.85,0.85,2110.66,11108.64,recommend_3arm,"both feasible, 3arm has lower energy",39.68,interior_point_method + golden_section_0_618,"min Energy(s), s.t. Cmax0/s <= D and speed_min <= s <= speed_max",Energy(s)=Energy0*((1-rho)+rho*s^2),0.7,0.6,1.4,mode_decision_summary_basic.csv
urgent_deadline,0.7,1846.83,time requirement is very urgent,,single_arm_dominant,7,2,2,1,2,2638.33,1794.0,13213.0,13787.33,INFEASIBLE,required speed exceeds speed_max,1.4286,,,,OPTIMAL,solved by interior point method and 0.618 search,0.9714,0.9714,1846.83,13243.06,recommend_3arm,only 3arm can meet deadline,,interior_point_method + golden_section_0_618,"min Energy(s), s.t. Cmax0/s <= D and speed_min <= s <= speed_max",Energy(s)=Energy0*((1-rho)+rho*s^2),0.7,0.6,1.4,mode_decision_summary_basic.csv
loose_deadline,1.5,3858.49,time requirement is loose,,single_arm_dominant,7,2,2,2,1,2572.33,1749.0,10689.67,11194.67,OPTIMAL,solved by interior point method and 0.618 search,0.6667,0.6667,3858.49,6532.58,OPTIMAL,solved by interior point method and 0.618 search,0.4533,0.6,2915.0,6179.46,recommend_3arm,"both feasible, 3arm has lower energy",5.41,interior_point_method + golden_section_0_618,"min Energy(s), s.t. Cmax0/s <= D and speed_min <= s <= speed_max",Energy(s)=Energy0*((1-rho)+rho*s^2),0.7,0.6,1.4,mode_decision_summary_basic.csv
normal_deadline,1.0,2572.33,time requirement equals original 2-arm Cmax,,single_arm_dominant,7,2,2,2,1,2572.33,1749.0,10689.67,11194.67,OPTIMAL,solved by interior point method and 0.618 search,1.0,1.0,2572.33,10689.67,OPTIMAL,solved by interior point method and 0.618 search,0.6799,0.6799,2572.33,6981.13,recommend_3arm,"both feasible, 3arm has lower energy",34.69,interior_point_method + golden_section_0_618,"min Energy(s), s.t. Cmax0/s <= D and speed_min <= s <= speed_max",Energy(s)=Energy0*((1-rho)+rho*s^2),0.7,0.6,1.4,mode_decision_summary_basic.csv
tight_deadline,0.8,2057.86,time requirement is tight,,single_arm_dominant,7,2,2,2,1,2572.33,1749.0,10689.67,11194.67,OPTIMAL,solved by interior point method and 0.618 search,1.25,1.25,2057.86,14898.73,OPTIMAL,solved by interior point method and 0.618 search,0.8499,0.8499,2057.86,9018.91,recommend_3arm,"both feasible, 3arm has lower energy",39.47,interior_point_method + golden_section_0_618,"min Energy(s), s.t. Cmax0/s <= D and speed_min <= s <= speed_max",Energy(s)=Energy0*((1-rho)+rho*s^2),0.7,0.6,1.4,mode_decision_summary_basic.csv
urgent_deadline,0.7,1800.63,time requirement is very urgent,,single_arm_dominant,7,2,2,2,1,2572.33,1749.0,10689.67,11194.67,INFEASIBLE,required speed exceeds speed_max,1.4286,,,,OPTIMAL,solved by interior point method and 0.618 search,0.9713,0.9713,1800.63,10751.72,recommend_3arm,only 3arm can meet deadline,,interior_point_method + golden_section_0_618,"min Energy(s), s.t. Cmax0/s <= D and speed_min <= s <= speed_max",Energy(s)=Energy0*((1-rho)+rho*s^2),0.7,0.6,1.4,mode_decision_summary_basic.csv
loose_deadline,1.5,4687.5,time requirement is loose,,balanced,8,2,2,2,2,3125.0,2282.0,15068.33,15655.0,OPTIMAL,solved by interior point method and 0.618 search,0.6667,0.6667,4687.5,9208.42,OPTIMAL,solved by interior point method and 0.618 search,0.4868,0.6,3803.33,8641.56,recommend_3arm,"both feasible, 3arm has lower energy",6.16,interior_point_method + golden_section_0_618,"min Energy(s), s.t. Cmax0/s <= D and speed_min <= s <= speed_max",Energy(s)=Energy0*((1-rho)+rho*s^2),0.7,0.6,1.4,mode_decision_summary_basic.csv
normal_deadline,1.0,3125.0,time requirement equals original 2-arm Cmax,,balanced,8,2,2,2,2,3125.0,2282.0,15068.33,15655.0,OPTIMAL,solved by interior point method and 0.618 search,1.0,1.0,3125.0,15068.33,OPTIMAL,solved by interior point method and 0.618 search,0.7302,0.7302,3125.0,10540.13,recommend_3arm,"both feasible, 3arm has lower energy",30.05,interior_point_method + golden_section_0_618,"min Energy(s), s.t. Cmax0/s <= D and speed_min <= s <= speed_max",Energy(s)=Energy0*((1-rho)+rho*s^2),0.7,0.6,1.4,mode_decision_summary_basic.csv
tight_deadline,0.8,2500.0,time requirement is tight,,balanced,8,2,2,2,2,3125.0,2282.0,15068.33,15655.0,OPTIMAL,solved by interior point method and 0.618 search,1.25,1.25,2500.0,21001.49,OPTIMAL,solved by interior point method and 0.618 search,0.9128,0.9128,2500.0,13827.16,recommend_3arm,"both feasible, 3arm has lower energy",34.16,interior_point_method + golden_section_0_618,"min Energy(s), s.t. Cmax0/s <= D and speed_min <= s <= speed_max",Energy(s)=Energy0*((1-rho)+rho*s^2),0.7,0.6,1.4,mode_decision_summary_basic.csv
urgent_deadline,0.7,2187.5,time requirement is very urgent,,balanced,8,2,2,2,2,3125.0,2282.0,15068.33,15655.0,INFEASIBLE,required speed exceeds speed_max,1.4286,,,,OPTIMAL,solved by interior point method and 0.618 search,1.0432,1.0432,2187.5,16622.27,recommend_3arm,only 3arm can meet deadline,,interior_point_method + golden_section_0_618,"min Energy(s), s.t. Cmax0/s <= D and speed_min <= s <= speed_max",Energy(s)=Energy0*((1-rho)+rho*s^2),0.7,0.6,1.4,mode_decision_summary_basic.csv
