deadline_type,deadline_multiplier_of_2B_cmax,deadline_value,deadline_note,counts_code,scenario_type,total_tasks,n1,n2,n3,n4,base_cmax_2arm,base_cmax_3arm,base_energy_2arm,base_energy_3arm,status_2arm,reason_2arm,required_speed_2arm,opt_speed_2arm,opt_cmax_2arm,opt_energy_2arm,status_3arm,reason_3arm,required_speed_3arm,opt_speed_3arm,opt_cmax_3arm,opt_energy_3arm,recommendation,recommendation_reason,energy_advantage_selected_vs_other_percent,solve_method,model,energy_model,rho_dynamic_energy,speed_min,speed_max,data_source
tight_deadline,0.8,1872.8,time requirement is tight,,dual_arm_dominant,5,1,1,2,1,2341.0,1646.67,9844.0,10282.33,OPTIMAL,solved by interior point method and 0.618 search,1.25,1.25,1872.8,13720.08,OPTIMAL,solved by interior point method and 0.618 search,0.8793,0.8793,1872.8,8649.12,recommend_3arm,"both feasible, 3arm has lower energy",36.96,interior_point_method + golden_section_0_618,"min Energy(s), s.t. Cmax0/s <= D and speed_min <= s <= speed_max",Energy(s)=Energy0*((1-rho)+rho*s^2),0.7,0.6,1.4,mode_decision_summary_basic.csv
urgent_deadline,0.7,1638.7,time requirement is very urgent,,dual_arm_dominant,5,1,1,2,1,2341.0,1646.67,9844.0,10282.33,INFEASIBLE,required speed exceeds speed_max,1.4286,,,,OPTIMAL,solved by interior point method and 0.618 search,1.0049,1.0049,1638.7,10352.51,recommend_3arm,only 3arm can meet deadline,,interior_point_method + golden_section_0_618,"min Energy(s), s.t. Cmax0/s <= D and speed_min <= s <= speed_max",Energy(s)=Energy0*((1-rho)+rho*s^2),0.7,0.6,1.4,mode_decision_summary_basic.csv
loose_deadline,1.5,3240.49,time requirement is loose,,single_arm_dominant,5,1,2,1,1,2160.33,1387.0,8401.0,8807.67,OPTIMAL,solved by interior point method and 0.618 search,0.6667,0.6667,3240.49,5133.94,OPTIMAL,solved by interior point method and 0.618 search,0.428,0.6,2311.67,4861.83,recommend_3arm,"both feasible, 3arm has lower energy",5.3,interior_point_method + golden_section_0_618,"min Energy(s), s.t. Cmax0/s <= D and speed_min <= s <= speed_max",Energy(s)=Energy0*((1-rho)+rho*s^2),0.7,0.6,1.4,mode_decision_summary_basic.csv
normal_deadline,1.0,2160.33,time requirement equals original 2-arm Cmax,,single_arm_dominant,5,1,2,1,1,2160.33,1387.0,8401.0,8807.67,OPTIMAL,solved by interior point method and 0.618 search,1.0,1.0,2160.33,8401.0,OPTIMAL,solved by interior point method and 0.618 search,0.642,0.642,2160.33,5183.69,recommend_3arm,"both feasible, 3arm has lower energy",38.3,interior_point_method + golden_section_0_618,"min Energy(s), s.t. Cmax0/s <= D and speed_min <= s <= speed_max",Energy(s)=Energy0*((1-rho)+rho*s^2),0.7,0.6,1.4,mode_decision_summary_basic.csv
tight_deadline,0.8,1728.26,time requirement is tight,,single_arm_dominant,5,1,2,1,1,2160.33,1387.0,8401.0,8807.67,OPTIMAL,solved by interior point method and 0.618 search,1.25,1.25,1728.26,11708.89,OPTIMAL,solved by interior point method and 0.618 search,0.8025,0.8025,1728.26,6613.23,recommend_3arm,"both feasible, 3arm has lower energy",43.52,interior_point_method + golden_section_0_618,"min Energy(s), s.t. Cmax0/s <= D and speed_min <= s <= speed_max",Energy(s)=Energy0*((1-rho)+rho*s^2),0.7,0.6,1.4,mode_decision_summary_basic.csv
urgent_deadline,0.7,1512.23,time requirement is very urgent,,single_arm_dominant,5,1,2,1,1,2160.33,1387.0,8401.0,8807.67,INFEASIBLE,required speed exceeds speed_max,1.4286,,,,OPTIMAL,solved by interior point method and 0.618 search,0.9172,0.9172,1512.23,7828.82,recommend_3arm,only 3arm can meet deadline,,interior_point_method + golden_section_0_618,"min Energy(s), s.t. Cmax0/s <= D and speed_min <= s <= speed_max",Energy(s)=Energy0*((1-rho)+rho*s^2),0.7,0.6,1.4,mode_decision_summary_basic.csv
loose_deadline,1.5,2932.99,time requirement is loose,,single_arm_dominant,5,2,1,1,1,1955.33,1303.33,7985.67,8454.0,OPTIMAL,solved by interior point method and 0.618 search,0.6667,0.6667,2932.99,4880.13,OPTIMAL,solved by interior point method and 0.618 search,0.4444,0.6,2172.22,4666.61,recommend_3arm,"both feasible, 3arm has lower energy",4.38,interior_point_method + golden_section_0_618,"min Energy(s), s.t. Cmax0/s <= D and speed_min <= s <= speed_max",Energy(s)=Energy0*((1-rho)+rho*s^2),0.7,0.6,1.4,mode_decision_summary_basic.csv
normal_deadline,1.0,1955.33,time requirement equals original 2-arm Cmax,,single_arm_dominant,5,2,1,1,1,1955.33,1303.33,7985.67,8454.0,OPTIMAL,solved by interior point method and 0.618 search,1.0,1.0,1955.33,7985.67,OPTIMAL,solved by interior point method and 0.618 search,0.6666,0.6666,1955.33,5165.43,recommend_3arm,"both feasible, 3arm has lower energy",35.32,interior_point_method + golden_section_0_618,"min Energy(s), s.t. Cmax0/s <= D and speed_min <= s <= speed_max",Energy(s)=Energy0*((1-rho)+rho*s^2),0.7,0.6,1.4,mode_decision_summary_basic.csv
tight_deadline,0.8,1564.26,time requirement is tight,,single_arm_dominant,5,2,1,1,1,1955.33,1303.33,7985.67,8454.0,OPTIMAL,solved by interior point method and 0.618 search,1.25,1.25,1564.26,11130.03,OPTIMAL,solved by interior point method and 0.618 search,0.8332,0.8332,1564.26,6644.38,recommend_3arm,"both feasible, 3arm has lower energy",40.3,interior_point_method + golden_section_0_618,"min Energy(s), s.t. Cmax0/s <= D and speed_min <= s <= speed_max",Energy(s)=Energy0*((1-rho)+rho*s^2),0.7,0.6,1.4,mode_decision_summary_basic.csv
urgent_deadline,0.7,1368.73,time requirement is very urgent,,single_arm_dominant,5,2,1,1,1,1955.33,1303.33,7985.67,8454.0,INFEASIBLE,required speed exceeds speed_max,1.4286,,,,OPTIMAL,solved by interior point method and 0.618 search,0.9522,0.9522,1368.73,7901.98,recommend_3arm,only 3arm can meet deadline,,interior_point_method + golden_section_0_618,"min Energy(s), s.t. Cmax0/s <= D and speed_min <= s <= speed_max",Energy(s)=Energy0*((1-rho)+rho*s^2),0.7,0.6,1.4,mode_decision_summary_basic.csv
