sensitivity_case,counts_code,deadline_ratio,deadline_value,lambda_single,lambda_dual,rho_single,rho_dual,speed_min,speed_max,mode,feasible,opt_speed_single,opt_speed_dual,opt_energy,opt_cmax,active_constraints,g_single_lower,g_single_upper,g_dual_lower,g_dual_upper,g_deadline,mu_single_lower,mu_single_upper,mu_dual_lower,mu_dual_upper,mu_deadline,stationarity_single_residual,stationarity_dual_residual,stationarity_norm,max_complementarity_error,primal_min,dual_min,kkt_pass,kkt_note
baseline,1111,1.05,1957.2,0.35,0.45,0.35,0.45,0.6,1.8,3B,1,0.916261,0.968729,8422.917767,1215.094728,none,0.3162605236,0.8837394764,0.3687293688,0.8312706312,742.1052715247,0.0,0.0,0.0,0.0,0.0,0.0011328207,0.0003931331,0.0011990981,0.0,0.3162605236,0.0,1,KKT conditions numerically satisfied for barrier-golden solution
baseline,1111,1.1,2050.4,0.35,0.45,0.35,0.45,0.6,1.8,2B,1,0.916261,0.96873,7994.042144,1979.26138,none,0.3162613737,0.8837386263,0.3687300035,0.8312699965,71.1386198528,0.0,0.0,0.0,0.0,0.0,0.0057254758,0.0041498126,0.0070712105,0.0,0.3162613737,0.0,1,KKT conditions numerically satisfied for barrier-golden solution
baseline,1111,1.1,2050.4,0.35,0.45,0.35,0.45,0.6,1.8,3B,1,0.916261,0.968729,8422.917767,1215.094743,none,0.3162605093,0.8837394907,0.3687293614,0.8312706386,835.3052572169,0.0,0.0,0.0,0.0,0.0,0.001050025,0.0003466721,0.001105773,0.0,0.3162605093,0.0,1,KKT conditions numerically satisfied for barrier-golden solution
baseline,1111,1.15,2143.6,0.35,0.45,0.35,0.45,0.6,1.8,2B,1,0.916261,0.96873,7994.042144,1979.262337,none,0.316260838,0.883739162,0.3687296391,0.8312703609,164.3376632525,0.0,0.0,0.0,0.0,0.0,0.0027948148,0.0019815454,0.0034260053,0.0,0.316260838,0.0,1,KKT conditions numerically satisfied for barrier-golden solution
baseline,1111,1.15,2143.6,0.35,0.45,0.35,0.45,0.6,1.8,3B,1,0.916261,0.968729,8422.917767,1215.094733,none,0.3162605171,0.8837394829,0.3687293683,0.8312706317,928.5052667745,0.0,0.0,0.0,0.0,0.0,0.0010953725,0.0003898199,0.0011626695,0.0,0.3162605171,0.0,1,KKT conditions numerically satisfied for barrier-golden solution
baseline,1111,1.2,2236.8,0.35,0.45,0.35,0.45,0.6,1.8,2B,1,0.916262,0.96873,7994.042144,1979.261055,none,0.316261559,0.883738441,0.3687301237,0.8312698763,257.5389449356,0.0,0.0,0.0,0.0,0.0,0.0067389639,0.0048653065,0.0083117291,0.0,0.316261559,0.0,1,KKT conditions numerically satisfied for barrier-golden solution
baseline,1111,1.2,2236.8,0.35,0.45,0.35,0.45,0.6,1.8,3B,1,0.916261,0.968729,8422.917767,1215.094748,none,0.3162605029,0.8837394971,0.36872936,0.83127064,1021.7052520412,0.0,0.0,0.0,0.0,0.0,0.0010136441,0.0003376848,0.0010684125,0.0,0.3162605029,0.0,1,KKT conditions numerically satisfied for barrier-golden solution
baseline,1111,1.25,2330.0,0.35,0.45,0.35,0.45,0.6,1.8,2B,1,0.916261,0.96873,7994.042144,1979.261455,none,0.316261338,0.883738662,0.368729968,0.831270032,350.7385449735,0.0,0.0,0.0,0.0,0.0,0.0055298849,0.0039389718,0.0067893391,0.0,0.316261338,0.0,1,KKT conditions numerically satisfied for barrier-golden solution
baseline,1111,1.25,2330.0,0.35,0.45,0.35,0.45,0.6,1.8,3B,1,0.916261,0.968729,8422.917767,1215.09473,none,0.3162605195,0.8837394805,0.3687293713,0.8312706287,1114.9052702518,0.0,0.0,0.0,0.0,0.0,0.0011092563,0.0004086976,0.0011821519,0.0,0.3162605195,0.0,1,KKT conditions numerically satisfied for barrier-golden solution
baseline,1111,1.3,2423.2,0.35,0.45,0.35,0.45,0.6,1.8,2B,1,0.916261,0.96873,7994.042144,1979.2617,none,0.316261202,0.883738798,0.3687298736,0.8312701264,443.9383002774,0.0,0.0,0.0,0.0,0.0,0.0047862297,0.0033770361,0.005857676,0.0,0.316261202,0.0,1,KKT conditions numerically satisfied for barrier-golden solution
baseline,1111,1.3,2423.2,0.35,0.45,0.35,0.45,0.6,1.8,3B,1,0.91626,0.968729,8422.917767,1215.094751,none,0.3162604994,0.8837395006,0.3687293593,0.8312706407,1208.1052492027,0.0,0.0,0.0,0.0,0.0,0.0009935137,0.0003329722,0.0010478263,0.0,0.3162604994,0.0,1,KKT conditions numerically satisfied for barrier-golden solution
baseline,1111,1.35,2516.4,0.35,0.45,0.35,0.45,0.6,1.8,2B,1,0.916261,0.96873,7994.042144,1979.261855,none,0.3162611162,0.8837388838,0.3687298136,0.8312701864,537.1381453778,0.0,0.0,0.0,0.0,0.0,0.0043166157,0.0030199281,0.0052681246,0.0,0.3162611162,0.0,1,KKT conditions numerically satisfied for barrier-golden solution
baseline,1111,1.35,2516.4,0.35,0.45,0.35,0.45,0.6,1.8,3B,1,0.916261,0.968729,8422.917767,1215.094736,none,0.3162605125,0.8837394875,0.3687293682,0.8312706318,1301.3052636045,0.0,0.0,0.0,0.0,0.0,0.0010690114,0.0003892754,0.0011376822,0.0,0.3162605125,0.0,1,KKT conditions numerically satisfied for barrier-golden solution
baseline,1111,1.4,2609.6,0.35,0.45,0.35,0.45,0.6,1.8,2B,1,0.916261,0.96873,7994.042144,1979.261959,none,0.3162610588,0.8837389412,0.3687297729,0.8312702271,630.3380413307,0.0,0.0,0.0,0.0,0.0,0.0040029325,0.0027779159,0.0048724003,0.0,0.3162610588,0.0,1,KKT conditions numerically satisfied for barrier-golden solution
baseline,1111,1.4,2609.6,0.35,0.45,0.35,0.45,0.6,1.8,3B,1,0.91626,0.968729,8422.917767,1215.094753,none,0.3162604965,0.8837395035,0.3687293593,0.8312706407,1394.5052471825,0.0,0.0,0.0,0.0,0.0,0.0009764292,0.0003329723,0.0010316417,0.0,0.3162604965,0.0,1,KKT conditions numerically satisfied for barrier-golden solution
baseline,1111,1.5,2796.0,0.35,0.45,0.35,0.45,0.6,1.8,2B,1,0.916261,0.96873,7994.042144,1979.262089,none,0.3162609871,0.8837390129,0.3687297223,0.8312702777,816.7379114294,0.0,0.0,0.0,0.0,0.0,0.0036105075,0.0024767351,0.0043783537,0.0,0.3162609871,0.0,1,KKT conditions numerically satisfied for barrier-golden solution
baseline,1111,1.5,2796.0,0.35,0.45,0.35,0.45,0.6,1.8,3B,1,0.91626,0.968729,8422.917767,1215.094855,none,0.3162604065,0.8837395935,0.3687292922,0.8312707078,1580.9051449327,0.0,0.0,0.0,0.0,0.0,0.0004575047,-8.75523e-05,0.0004658068,0.0,0.3162604065,0.0,1,KKT conditions numerically satisfied for barrier-golden solution
baseline,1112,0.7,1673.233333,0.35,0.45,0.35,0.45,0.6,1.8,2B,1,1.432066,1.426251,13601.210646,1673.233315,deadline,0.8320655524,0.3679344476,0.8262514958,0.3737485042,1.82182e-05,0.0,0.0,0.0,0.0,4.9823215685,0.2602230407,-0.1720762439,0.3119715766,9.07691e-05,1.82182e-05,0.0,1,KKT conditions numerically satisfied for barrier-golden solution
baseline,1112,0.7,1673.233333,0.35,0.45,0.35,0.45,0.6,1.8,3B,1,0.975796,1.018292,12574.894016,1673.233151,deadline,0.3757958767,0.8242041233,0.4182915682,0.7817084318,0.0001819784,0.0,0.0,0.0,0.0,0.5459902673,0.3173964869,-0.2304290315,0.3922219633,9.93584e-05,0.0001819784,0.0,1,KKT conditions numerically satisfied for barrier-golden solution
baseline,1112,0.75,1792.75,0.35,0.45,0.35,0.45,0.6,1.8,2B,1,1.332121,1.334143,13088.053083,1792.749972,deadline,0.7321208325,0.4678791675,0.7341429292,0.4658570708,2.81948e-05,0.0,0.0,0.0,0.0,3.6653633239,0.2010694931,-0.1344535896,0.2418816009,0.0001033443,2.81948e-05,0.0,1,KKT conditions numerically satisfied for barrier-golden solution
baseline,1112,0.75,1792.75,0.35,0.45,0.35,0.45,0.6,1.8,3B,1,0.916262,0.96873,12549.900147,1768.320453,none,0.3162623514,0.8837376486,0.3687299643,0.8312700357,24.4295472445,0.0,0.0,0.0,0.0,0.0,0.0139020689,0.007375512,0.0157373981,0.0,0.3162623514,0.0,1,KKT conditions numerically satisfied for barrier-golden solution
baseline,1112,0.8,1912.266667,0.35,0.45,0.35,0.45,0.6,1.8,2B,1,1.244102,1.253963,12712.781251,1912.266627,deadline,0.6441021374,0.5558978626,0.653963117,0.546036883,3.98648e-05,0.0,0.0,0.0,0.0,2.6577501737,0.2789241485,-0.1889088524,0.3368756969,0.0001059508,3.98648e-05,0.0,1,KKT conditions numerically satisfied for barrier-golden solution
baseline,1112,0.8,1912.266667,0.35,0.45,0.35,0.45,0.6,1.8,3B,1,0.916262,0.96873,12549.900147,1768.3212,none,0.3162615839,0.8837384161,0.3687298384,0.8312701616,143.9454667527,0.0,0.0,0.0,0.0,0.0,0.008631216,0.0059649039,0.0104918048,0.0,0.3162615839,0.0,1,KKT conditions numerically satisfied for barrier-golden solution
baseline,1112,0.85,2031.783333,0.35,0.45,0.35,0.45,0.6,1.8,2B,1,1.165847,1.183661,12443.862203,2031.783282,deadline,0.5658470242,0.6341529758,0.5836612335,0.6163387665,5.16027e-05,0.0,0.0,0.0,0.0,1.8739903545,0.2574591318,-0.176924816,0.3123901328,9.6703e-05,5.16027e-05,0.0,1,KKT conditions numerically satisfied for barrier-golden solution
baseline,1112,0.85,2031.783333,0.35,0.45,0.35,0.45,0.6,1.8,3B,1,0.916261,0.968729,12549.900147,1768.322503,none,0.3162608762,0.8837391238,0.3687291486,0.8312708514,263.4608302243,0.0,0.0,0.0,0.0,0.0,0.0037710996,-0.0017651248,0.0041637553,0.0,0.3162608762,0.0,1,KKT conditions numerically satisfied for barrier-golden solution
baseline,1112,0.9,2151.3,0.35,0.45,0.35,0.45,0.6,1.8,2B,1,1.095724,1.121611,12258.262354,2151.299926,deadline,0.4957244876,0.7042755124,0.5216112665,0.6783887335,7.41065e-05,0.0,0.0,0.0,0.0,1.2553913012,0.339727763,-0.2373131322,0.4144061723,9.30327e-05,7.41065e-05,0.0,1,KKT conditions numerically satisfied for barrier-golden solution
baseline,1112,0.9,2151.3,0.35,0.45,0.35,0.45,0.6,1.8,3B,1,0.916261,0.968729,12549.900147,1768.322548,none,0.3162607934,0.8837392066,0.3687291688,0.8312708312,382.9774524717,0.0,0.0,0.0,0.0,0.0,0.0032027888,-0.001538943,0.0035533367,0.0,0.3162607934,0.0,1,KKT conditions numerically satisfied for barrier-golden solution
baseline,1112,0.95,2270.816667,0.35,0.45,0.35,0.45,0.6,1.8,2B,1,1.032386,1.066576,12138.836374,2270.816536,deadline,0.4323856635,0.7676143365,0.4665759574,0.7334240426,0.0001303053,0.0,0.0,0.0,0.0,0.7609233112,0.1808994852,-0.1287199081,0.2220212568,9.91523e-05,0.0001303053,0.0,1,KKT conditions numerically satisfied for barrier-golden solution
baseline,1112,0.95,2270.816667,0.35,0.45,0.35,0.45,0.6,1.8,3B,1,0.916261,0.96873,12549.900147,1768.322042,none,0.3162608874,0.8837391126,0.3687295713,0.8312704287,502.4946250747,0.0,0.0,0.0,0.0,0.0,0.0038481274,0.0029718171,0.0048620759,0.0,0.3162608874,0.0,1,KKT conditions numerically satisfied for barrier-golden solution
