counts_code,n1,n2,n3,n4,total_tasks,scenario_type,method,seed_count,deadline_base,deadline_reference_cmax_2B,deadline_ratio,deadline_value,lambda_single,lambda_dual,rho_single,rho_dual,speed_min,speed_max,mean_cmax_2B_original,max_cmax_2B_original,mean_energy_2B_original,max_energy_2B_original,robust_feasible_2B,opt_speed_single_2B,opt_speed_dual_2B,worst_energy_z_2B,mean_energy_after_speed_2B,max_cmax_after_speed_2B,worst_energy_seed_2B,binding_time_seed_2B,kkt_pass_2B,infeasible_reason_2B,mean_cmax_3B_original,max_cmax_3B_original,mean_energy_3B_original,max_energy_3B_original,robust_feasible_3B,opt_speed_single_3B,opt_speed_dual_3B,worst_energy_z_3B,mean_energy_after_speed_3B,max_cmax_after_speed_3B,worst_energy_seed_3B,binding_time_seed_3B,kkt_pass_3B,infeasible_reason_3B,worst_energy_gap_2B_minus_3B,worst_energy_gap_percent_vs_2B,recommended_mode,recommendation,recommendation_reason
1111,1,1,1,1,4,balanced,optimized,3,mean_2b,1864.0,1.25,2330.0,0.35,0.45,0.35,0.45,0.6,1.8,1864.0,1977.0,8015.0,8620.0,1,0.91626,0.968729,8597.460172,7994.042144,2099.250759,2,1,1,,1144.333333,1256.0,8445.0,9079.0,1,0.91626,0.968729,9055.259965,8422.917767,1333.666643,2,2,1,,-457.799793,-5.3248,2B,recommend_2arm_lower_worst_case_energy,2B has lower worst-case energy under seed perturbations
1111,1,1,1,1,4,balanced,optimized,3,mean_2b,1864.0,1.3,2423.2,0.35,0.45,0.35,0.45,0.6,1.8,1864.0,1977.0,8015.0,8620.0,1,0.91626,0.968729,8597.460172,7994.042144,2099.250759,2,1,1,,1144.333333,1256.0,8445.0,9079.0,1,0.91626,0.968729,9055.259965,8422.917767,1333.666643,2,2,1,,-457.799793,-5.3248,2B,recommend_2arm_lower_worst_case_energy,2B has lower worst-case energy under seed perturbations
1111,1,1,1,1,4,balanced,optimized,3,mean_2b,1864.0,1.35,2516.4,0.35,0.45,0.35,0.45,0.6,1.8,1864.0,1977.0,8015.0,8620.0,1,0.91626,0.968729,8597.460172,7994.042144,2099.250759,2,1,1,,1144.333333,1256.0,8445.0,9079.0,1,0.91626,0.968729,9055.259965,8422.917767,1333.666643,2,2,1,,-457.799793,-5.3248,2B,recommend_2arm_lower_worst_case_energy,2B has lower worst-case energy under seed perturbations
1111,1,1,1,1,4,balanced,optimized,3,mean_2b,1864.0,1.4,2609.6,0.35,0.45,0.35,0.45,0.6,1.8,1864.0,1977.0,8015.0,8620.0,1,0.91626,0.968729,8597.460172,7994.042144,2099.250759,2,1,1,,1144.333333,1256.0,8445.0,9079.0,1,0.91626,0.968729,9055.259965,8422.917767,1333.666643,2,2,1,,-457.799793,-5.3248,2B,recommend_2arm_lower_worst_case_energy,2B has lower worst-case energy under seed perturbations
1111,1,1,1,1,4,balanced,optimized,3,mean_2b,1864.0,1.5,2796.0,0.35,0.45,0.35,0.45,0.6,1.8,1864.0,1977.0,8015.0,8620.0,1,0.91626,0.968729,8597.460172,7994.042144,2099.250759,2,1,1,,1144.333333,1256.0,8445.0,9079.0,1,0.91626,0.968729,9055.259965,8422.917767,1333.666643,2,2,1,,-457.799793,-5.3248,2B,recommend_2arm_lower_worst_case_energy,2B has lower worst-case energy under seed perturbations
1112,1,1,1,2,5,type4_dominant,optimized,3,mean_2b,2390.333333,0.7,1673.233333,0.35,0.45,0.35,0.45,0.6,1.8,2390.333333,2520.0,12076.333333,12245.0,1,1.495841,1.512961,14278.784549,14082.103864,1673.233333,1,1,0,,1674.666667,1700.0,12578.0,12766.0,1,0.987893,1.035639,12778.862935,12590.673508,1673.233333,1,1,0,,1499.921614,10.5045,3B,recommend_3arm_lower_worst_case_energy,3B has lower worst-case energy under seed perturbations
1112,1,1,1,2,5,type4_dominant,optimized,3,mean_2b,2390.333333,0.75,1792.75,0.35,0.45,0.35,0.45,0.6,1.8,2390.333333,2520.0,12076.333333,12245.0,1,1.391383,1.415345,13659.689589,13471.536522,1792.75,1,1,0,,1674.666667,1700.0,12578.0,12766.0,1,0.917831,0.969775,12737.494955,12549.914738,1792.666878,1,1,0,,922.194634,6.7512,3B,recommend_3arm_lower_worst_case_energy,3B has lower worst-case energy under seed perturbations
1112,1,1,1,2,5,type4_dominant,optimized,3,mean_2b,2390.333333,0.8,1912.266667,0.35,0.45,0.35,0.45,0.6,1.8,2390.333333,2520.0,12076.333333,12245.0,1,1.300344,1.329713,13195.884627,13014.120162,1912.266667,1,1,0,,1674.666667,1700.0,12578.0,12766.0,1,0.91626,0.968729,12737.480146,12549.900147,1795.072878,1,1,1,,458.404482,3.4738,3B,recommend_3arm_lower_worst_case_energy,3B has lower worst-case energy under seed perturbations
1112,1,1,1,2,5,type4_dominant,optimized,3,mean_2b,2390.333333,0.85,2031.783333,0.35,0.45,0.35,0.45,0.6,1.8,2390.333333,2520.0,12076.333333,12245.0,1,1.220061,1.254153,12851.942228,12674.915339,2031.783333,1,1,0,,1674.666667,1700.0,12578.0,12766.0,1,0.91626,0.968729,12737.480146,12549.900147,1795.072878,1,1,1,,114.462083,0.8906,3B,recommend_3arm_lower_worst_case_energy,3B has lower worst-case energy under seed perturbations
1112,1,1,1,2,5,type4_dominant,optimized,3,mean_2b,2390.333333,0.9,2151.3,0.35,0.45,0.35,0.45,0.6,1.8,2390.333333,2520.0,12076.333333,12245.0,1,1.14871,1.187005,12601.946978,12428.363606,2151.3,1,1,0,,1674.666667,1700.0,12578.0,12766.0,1,0.91626,0.968729,12737.480146,12549.900147,1795.072878,1,1,1,,-135.533168,-1.0755,2B,recommend_2arm_lower_worst_case_energy,2B has lower worst-case energy under seed perturbations
1112,1,1,1,2,5,type4_dominant,optimized,3,mean_2b,2390.333333,0.95,2270.816667,0.35,0.45,0.35,0.45,0.6,1.8,2390.333333,2520.0,12076.333333,12245.0,1,1.084936,1.126903,12426.607891,12255.439697,2270.816667,1,1,0,,1674.666667,1700.0,12578.0,12766.0,1,0.91626,0.968729,12737.480146,12549.900147,1795.072878,1,1,1,,-310.872255,-2.5017,2B,recommend_2arm_lower_worst_case_energy,2B has lower worst-case energy under seed perturbations
