counts_code,n1,n2,n3,n4,total_tasks,scenario_type,method,seed_count,seeds_used,deadline_base,deadline_reference_cmax_2B,deadline_ratio,deadline_value,lambda_single,lambda_dual,rho_single,rho_dual,speed_min,speed_max,mode,feasible,opt_speed_single,opt_speed_dual,worst_energy_z,max_cmax_after_speed,worst_energy_seed,binding_time_seed,primal_min,dual_min,stationarity_s_single,stationarity_s_dual,stationarity_z,stationarity_norm,max_complementarity_error,active_constraints,active_time_seeds,active_energy_seeds,selected_multipliers,kkt_pass,kkt_note
1111,1,1,1,1,4,balanced,optimized,3,"0,1,2",mean_2b,1864.0,1.05,1957.2,0.35,0.45,0.35,0.45,0.6,1.8,2B,1,0.986558,1.034829,8624.69273,1957.199196,2,1,0.0,0.0,-0.0193731764,0.0213153847,0.9991696449,0.9995847362,2.683e-07,time_seed_1+energy_seed_2,1,2,energy_seed_2:0.000830355;time_seed_1:0.000333681,0,KKT residual is reported for numerical inspection
1111,1,1,1,1,4,balanced,optimized,3,"0,1,2",mean_2b,1864.0,1.05,1957.2,0.35,0.45,0.35,0.45,0.6,1.8,3B,1,0.91626,0.968729,9055.259965,1333.666643,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,energy_seed_2,,2,energy_seed_2:1,1,KKT conditions numerically satisfied for robust SLP solution
1111,1,1,1,1,4,balanced,optimized,3,"0,1,2",mean_2b,1864.0,1.1,2050.4,0.35,0.45,0.35,0.45,0.6,1.8,2B,1,0.939427,0.990322,8600.48324,2050.397992,2,1,0.0,0.0,-0.057387756,0.0637743372,0.9925844896,0.9962853455,1.8703e-06,time_seed_1+energy_seed_2,1,2,energy_seed_2:0.00741551;time_seed_1:0.000931484,0,KKT residual is reported for numerical inspection
1111,1,1,1,1,4,balanced,optimized,3,"0,1,2",mean_2b,1864.0,1.1,2050.4,0.35,0.45,0.35,0.45,0.6,1.8,3B,1,0.91626,0.968729,9055.259965,1333.666643,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,energy_seed_2,,2,energy_seed_2:1,1,KKT conditions numerically satisfied for robust SLP solution
1111,1,1,1,1,4,balanced,optimized,3,"0,1,2",mean_2b,1864.0,1.15,2143.6,0.35,0.45,0.35,0.45,0.6,1.8,2B,1,0.91626,0.968729,8597.460172,2099.250759,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,energy_seed_2,,2,energy_seed_2:1,1,KKT conditions numerically satisfied for robust SLP solution
1111,1,1,1,1,4,balanced,optimized,3,"0,1,2",mean_2b,1864.0,1.15,2143.6,0.35,0.45,0.35,0.45,0.6,1.8,3B,1,0.91626,0.968729,9055.259965,1333.666643,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,energy_seed_2,,2,energy_seed_2:1,1,KKT conditions numerically satisfied for robust SLP solution
1111,1,1,1,1,4,balanced,optimized,3,"0,1,2",mean_2b,1864.0,1.2,2236.8,0.35,0.45,0.35,0.45,0.6,1.8,2B,1,0.91626,0.968729,8597.460172,2099.250759,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,energy_seed_2,,2,energy_seed_2:1,1,KKT conditions numerically satisfied for robust SLP solution
1111,1,1,1,1,4,balanced,optimized,3,"0,1,2",mean_2b,1864.0,1.2,2236.8,0.35,0.45,0.35,0.45,0.6,1.8,3B,1,0.91626,0.968729,9055.259965,1333.666643,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,energy_seed_2,,2,energy_seed_2:1,1,KKT conditions numerically satisfied for robust SLP solution
1111,1,1,1,1,4,balanced,optimized,3,"0,1,2",mean_2b,1864.0,1.25,2330.0,0.35,0.45,0.35,0.45,0.6,1.8,2B,1,0.91626,0.968729,8597.460172,2099.250759,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,energy_seed_2,,2,energy_seed_2:1,1,KKT conditions numerically satisfied for robust SLP solution
1111,1,1,1,1,4,balanced,optimized,3,"0,1,2",mean_2b,1864.0,1.25,2330.0,0.35,0.45,0.35,0.45,0.6,1.8,3B,1,0.91626,0.968729,9055.259965,1333.666643,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,energy_seed_2,,2,energy_seed_2:1,1,KKT conditions numerically satisfied for robust SLP solution
