n1,n2,n3,n4,total_tasks,seed,cmax_2B_optimal,energy_2B_optimal,cmax_2B_optimized_heuristic,energy_2B_optimized_heuristic,cmax_gap_2B_pct,energy_gap_2B_pct,is_optimal_2B,cmax_3B_optimal,energy_3B_optimal,cmax_3B_optimized_heuristic,energy_3B_optimized_heuristic,cmax_gap_3B_pct,energy_gap_3B_pct,is_optimal_3B,calc_time_optimized_heuristic_s
2,1,2,2,7,1,3019.0,13813.0,3019.0,13813.0,0.0,0.0,yes,2223.0,14394.0,2223.0,14394.0,0.0,0.0,yes,1.134686
2,1,2,2,7,2,2931.0,14721.0,2931.0,14721.0,0.0,0.0,yes,2237.0,15384.0,2245.0,15376.0,0.3576,-0.052,no,1.094874
2,2,1,2,7,0,2797.0,13709.0,2797.0,13709.0,0.0,0.0,yes,1890.0,14303.0,2089.0,14223.0,10.5291,-0.5593,no,1.153964
2,2,1,2,7,1,2499.0,12355.0,2499.0,12355.0,0.0,0.0,yes,1697.0,12937.0,1879.0,13001.0,10.7248,0.4947,no,1.07918
2,2,1,2,7,2,2619.0,13575.0,2619.0,13575.0,0.0,0.0,yes,1795.0,14122.0,1935.0,14168.0,7.7994,0.3257,no,1.13467
2,2,2,1,7,0,2721.0,11133.0,2721.0,11133.0,0.0,0.0,yes,1851.0,11673.0,1927.0,11639.0,4.1059,-0.2913,no,1.120318
2,2,2,1,7,1,2500.0,10196.0,2500.0,10196.0,0.0,0.0,yes,1694.0,10655.0,1863.0,10676.0,9.9764,0.1971,no,1.095751
2,2,2,1,7,2,2496.0,10740.0,2496.0,10740.0,0.0,0.0,yes,1702.0,11256.0,1730.0,11253.0,1.6451,-0.0267,no,1.14191
2,2,2,2,8,0,3265.0,15303.0,3285.0,15316.0,0.6126,0.085,no,2366.0,15892.0,2368.0,15907.0,0.0845,0.0944,no,2.013211
2,2,2,2,8,1,3085.0,15077.0,3085.0,15077.0,0.0,0.0,yes,2279.0,15675.0,2370.0,15799.0,3.993,0.7911,no,1.982459
2,2,2,2,8,2,3025.0,14825.0,3025.0,14825.0,0.0,0.0,yes,2201.0,15398.0,2201.0,15417.0,0.0,0.1234,no,2.008379
